x_raw,x_float,y_hw_raw,y_hw_float,y_ref,err
729088,0.086914,28738083,-0.574154,-0.574154,8.984869e-08
733184,0.087402,28744792,-0.573354,-0.573354,3.313403e-08
737280,0.087891,28751506,-0.572553,-0.572553,2.567306e-08
741376,0.088379,28758224,-0.571753,-0.571752,5.098020e-08
745472,0.088867,28764947,-0.570951,-0.570951,7.685263e-08
749568,0.089355,28771675,-0.570149,-0.570149,5.117991e-08
753664,0.089844,28778408,-0.569346,-0.569346,2.680284e-08
757760,0.090332,28785144,-0.568543,-0.568543,8.055760e-08
761856,0.090820,28791886,-0.567740,-0.567740,1.486745e-08
765952,0.091309,28798632,-0.566936,-0.566936,1.377888e-08
770048,0.091797,28805383,-0.566131,-0.566131,4.268434e-08
774144,0.092285,28812138,-0.565325,-0.565326,3.608035e-08
778240,0.092773,28818898,-0.564520,-0.564520,8.638641e-08
782336,0.093262,28825663,-0.563713,-0.563713,1.943710e-07
786432,0.093750,28832432,-0.562906,-0.562907,2.415938e-07
790528,0.094238,28839206,-0.562099,-0.562099,3.480336e-07
794624,0.094727,28845984,-0.561291,-0.561291,3.952512e-07
798720,0.095215,28852766,-0.560482,-0.560483,3.840170e-07
802816,0.095703,28859553,-0.559673,-0.559674,4.343114e-07
806912,0.096191,28866345,-0.558864,-0.558864,5.469059e-07
811008,0.096680,28873140,-0.558053,-0.558054,4.841540e-07
815104,0.097168,28879940,-0.557243,-0.557243,4.852469e-07
819200,0.097656,28886745,-0.556432,-0.556432,5.509576e-07
823296,0.098145,28893554,-0.555620,-0.555621,5.628504e-07
827392,0.098633,28900367,-0.554808,-0.554808,5.216993e-07
831488,0.099121,28907185,-0.553995,-0.553996,5.474884e-07
835584,0.099609,28914007,-0.553182,-0.553182,5.217833e-07
839680,0.100098,28920834,-0.552368,-0.552368,5.645689e-07
843776,0.100586,28927665,-0.551554,-0.551554,5.574121e-07
847872,0.101074,28934500,-0.550739,-0.550739,5.010895e-07
851968,0.101562,28941340,-0.549923,-0.549924,5.155874e-07
856064,0.102051,28948184,-0.549108,-0.549108,4.824741e-07
860160,0.102539,28955033,-0.548291,-0.548292,5.217372e-07
864256,0.103027,28961886,-0.547474,-0.547475,5.149458e-07
868352,0.103516,28968743,-0.546657,-0.546657,4.628791e-07
872448,0.104004,28975605,-0.545839,-0.545839,4.855259e-07
876544,0.104492,28982471,-0.545020,-0.545021,4.644572e-07
880640,0.104980,28989342,-0.544201,-0.544202,5.196626e-07
884736,0.105469,28996217,-0.543382,-0.543382,5.327142e-07
888832,0.105957,29003096,-0.542562,-0.542562,5.043934e-07
892928,0.106445,29009980,-0.541741,-0.541741,5.546916e-07
897024,0.106934,29016869,-0.540920,-0.540920,6.843913e-07
901120,0.107422,29023761,-0.540098,-0.540099,6.558572e-07
905216,0.107910,29030658,-0.539276,-0.539277,7.082913e-07
909312,0.108398,29037560,-0.538453,-0.538454,8.424776e-07
913408,0.108887,29044466,-0.537630,-0.537631,9.399914e-07
917504,0.109375,29051368,-0.536807,-0.536807,4.794338e-08
921600,0.109863,29058282,-0.535983,-0.535983,7.446777e-08
925696,0.110352,29065201,-0.535158,-0.535158,1.858855e-07
929792,0.110840,29072124,-0.534333,-0.534333,2.637738e-07
933888,0.111328,29079050,-0.533507,-0.533507,1.897103e-07
937984,0.111816,29085982,-0.532681,-0.532681,3.221103e-07
942080,0.112305,29092917,-0.531854,-0.531854,3.041341e-07
946176,0.112793,29099856,-0.531027,-0.531027,2.557792e-07
950272,0.113281,29106800,-0.530199,-0.530199,2.970439e-07
954368,0.113770,29113748,-0.529371,-0.529371,3.095083e-07
958464,0.114258,29120700,-0.528542,-0.528542,2.939622e-07
962560,0.114746,29127656,-0.527713,-0.527713,2.511961e-07
966656,0.115234,29134616,-0.526883,-0.526883,1.820009e-07
970752,0.115723,29141581,-0.526053,-0.526053,2.063770e-07
974848,0.116211,29148550,-0.525222,-0.525222,2.059070e-07
978944,0.116699,29155523,-0.524391,-0.524391,1.813833e-07
983040,0.117188,29162500,-0.523559,-0.523559,1.335985e-07
987136,0.117676,29169481,-0.522727,-0.522727,6.334594e-08
991232,0.118164,29176467,-0.521894,-0.521894,9.062859e-08
995328,0.118652,29183457,-0.521061,-0.521061,9.703135e-08
999424,0.119141,29190450,-0.520227,-0.520227,3.586039e-08
1003520,0.119629,29197449,-0.519393,-0.519393,5.037636e-08
1007616,0.120117,29204451,-0.518558,-0.518558,1.090642e-09
1011712,0.120605,29211457,-0.517723,-0.517723,7.025603e-08
1015808,0.121094,29218468,-0.516887,-0.516887,3.711397e-08
1019904,0.121582,29225483,-0.516051,-0.516051,2.007670e-08
1024000,0.122070,29232502,-0.515214,-0.515214,1.834674e-08
1028096,0.122559,29239525,-0.514377,-0.514377,3.112612e-08
1032192,0.123047,29246552,-0.513539,-0.513539,5.761640e-08
1036288,0.123535,29253584,-0.512701,-0.512701,2.219060e-08
1040384,0.124023,29260620,-0.511862,-0.511862,8.988497e-08
1044480,0.124512,29267660,-0.511023,-0.511023,1.462665e-07
1048576,0.125000,29274704,-0.510183,-0.510184,1.921356e-07
1052672,0.125488,29281752,-0.509343,-0.509343,2.282930e-07
1056768,0.125977,29288804,-0.508502,-0.508503,2.555398e-07
1060864,0.126465,29295861,-0.507661,-0.507662,3.938871e-07
1064960,0.126953,29302921,-0.506820,-0.506820,4.057185e-07
1069056,0.127441,29309985,-0.505978,-0.505978,4.110459e-07
1073152,0.127930,29317053,-0.505135,-0.505135,4.106723e-07
1077248,0.128418,29324125,-0.504292,-0.504292,4.054013e-07
1081344,0.128906,29331201,-0.503448,-0.503449,3.960369e-07
1085440,0.129395,29338281,-0.502604,-0.502605,3.833835e-07
1089536,0.129883,29345365,-0.501760,-0.501760,3.682461e-07
1093632,0.130371,29352453,-0.500915,-0.500915,3.514300e-07
1097728,0.130859,29359545,-0.500069,-0.500070,3.337411e-07
1101824,0.131348,29366641,-0.499224,-0.499224,3.159856e-07
1105920,0.131836,29373740,-0.498377,-0.498378,1.797610e-07
1110016,0.132324,29380844,-0.497530,-0.497531,1.642930e-07
1114112,0.132812,29387952,-0.496683,-0.496683,1.511801e-07
1118208,0.133301,29395064,-0.495835,-0.495835,1.412303e-07
1122304,0.133789,29402179,-0.494987,-0.494987,1.604285e-08
1126400,0.134277,29409299,-0.494138,-0.494138,1.484537e-08
1130496,0.134766,29416423,-0.493289,-0.493289,1.923801e-08
1134592,0.135254,29423550,-0.492440,-0.492439,8.917862e-08
1138688,0.135742,29430682,-0.491589,-0.491589,7.117559e-08
